"_id","ReportedYear","Category","Subtype","AssaultSubtype","Sex","AgeGroup","AgeCohort","Count_"
823,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","65+","4"
824,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Unknown","Unknown","4"
825,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","18-24","29"
826,2021,"Crimes Against the Person","Other","N/A","F","Adult","45-54","233"
827,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","25-34","41"
828,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","35-44","12"
829,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","45-54","15"
830,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","55-64","3"
831,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","65+","4"
832,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","35"
833,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","U","Unknown","Unknown","1"
834,2021,"Crimes Against the Person","Assault","Other","F","Adult","18-24","1297"
835,2021,"Crimes Against the Person","Assault","Other","F","Adult","25-34","2365"
836,2021,"Crimes Against the Person","Assault","Other","F","Adult","35-44","1579"
837,2021,"Crimes Against the Person","Assault","Other","F","Adult","45-54","999"
838,2021,"Crimes Against the Person","Assault","Other","F","Adult","55-64","590"
839,2021,"Crimes Against the Person","Assault","Other","F","Adult","65+","435"
840,2021,"Crimes Against the Person","Assault","Other","F","Child","<12","246"
841,2021,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","77"
842,2021,"Crimes Against the Person","Assault","Other","F","Youth","12-17","389"
843,2021,"Crimes Against the Person","Assault","Other","M","Adult","18-24","1081"
844,2021,"Crimes Against the Person","Assault","Other","M","Adult","25-34","2086"
845,2021,"Crimes Against the Person","Assault","Other","M","Adult","35-44","1557"
846,2021,"Crimes Against the Person","Assault","Other","M","Adult","45-54","1268"
847,2021,"Crimes Against the Person","Assault","Other","M","Adult","55-64","1099"
848,2021,"Crimes Against the Person","Assault","Other","M","Adult","65+","514"
849,2021,"Crimes Against the Person","Assault","Other","M","Child","<12","299"
850,2021,"Crimes Against the Person","Assault","Other","M","Unknown","Unknown","133"
851,2021,"Crimes Against the Person","Assault","Other","M","Youth","12-17","472"
852,2021,"Crimes Against the Person","Assault","Other","U","Adult","18-24","2"
853,2021,"Crimes Against the Person","Assault","Other","U","Adult","25-34","5"
854,2021,"Crimes Against the Person","Assault","Other","U","Adult","35-44","3"
855,2021,"Crimes Against the Person","Assault","Other","U","Adult","45-54","6"
856,2021,"Crimes Against the Person","Assault","Other","U","Adult","55-64","1"
857,2021,"Crimes Against the Person","Assault","Other","U","Unknown","Unknown","58"
858,2021,"Crimes Against the Person","Assault","Other","U","Youth","12-17","2"
859,2021,"Crimes Against the Person","Other","N/A","F","Adult","18-24","281"
860,2021,"Crimes Against the Person","Other","N/A","F","Adult","25-34","509"
861,2021,"Crimes Against the Person","Other","N/A","F","Adult","35-44","372"
862,2020,"Crimes Against the Person","Other","N/A","M","Adult","25-34","384"
863,2021,"Crimes Against the Person","Other","N/A","F","Adult","55-64","147"
864,2020,"Crimes Against the Person","Other","N/A","M","Adult","35-44","263"
865,2021,"Crimes Against the Person","Other","N/A","F","Adult","65+","74"
866,2020,"Crimes Against the Person","Other","N/A","M","Adult","45-54","239"
867,2021,"Crimes Against the Person","Other","N/A","F","Child","<12","35"
868,2020,"Crimes Against the Person","Other","N/A","M","Adult","55-64","176"
869,2021,"Crimes Against the Person","Other","N/A","F","Unknown","Unknown","39"
870,2020,"Crimes Against the Person","Other","N/A","M","Adult","65+","59"
871,2021,"Crimes Against the Person","Other","N/A","F","Youth","12-17","127"
872,2020,"Crimes Against the Person","Other","N/A","M","Child","<12","74"
873,2021,"Crimes Against the Person","Other","N/A","M","Adult","18-24","200"
874,2020,"Crimes Against the Person","Other","N/A","M","Unknown","Unknown","74"
875,2021,"Crimes Against the Person","Other","N/A","M","Adult","25-34","333"
876,2020,"Crimes Against the Person","Other","N/A","M","Youth","12-17","92"
877,2021,"Crimes Against the Person","Other","N/A","M","Adult","35-44","315"
878,2020,"Crimes Against the Person","Other","N/A","U","Adult","18-24","1"
879,2021,"Crimes Against the Person","Other","N/A","M","Adult","45-54","278"
880,2020,"Crimes Against the Person","Other","N/A","U","Adult","25-34","1"
881,2020,"Crimes Against the Person","Other","N/A","U","Adult","45-54","4"
882,2020,"Crimes Against the Person","Other","N/A","U","Child","<12","1"
883,2020,"Crimes Against the Person","Other","N/A","U","Unknown","Unknown","11"
884,2020,"Crimes Against the Person","Other","N/A","U","Youth","12-17","1"
885,2020,"Crimes Against the Person","Robbery","N/A","F","Adult","18-24","135"
886,2020,"Crimes Against the Person","Robbery","N/A","F","Adult","25-34","138"
887,2020,"Crimes Against the Person","Robbery","N/A","F","Adult","35-44","102"
888,2020,"Crimes Against the Person","Robbery","N/A","F","Adult","45-54","117"
889,2020,"Crimes Against the Person","Robbery","N/A","F","Adult","55-64","65"
890,2020,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","46"
891,2020,"Crimes Against the Person","Robbery","N/A","F","Child","<12","4"
892,2020,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","9"
893,2020,"Crimes Against the Person","Robbery","N/A","F","Youth","12-17","49"
894,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","18-24","448"
895,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","25-34","380"
896,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","35-44","204"
897,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","45-54","189"
